등급,어휘,표준동형어번호수정,품사,어종,원어,의미,분야,
1등급,가,1,명사,고유어,,"「1」경계에 가까운 바깥쪽 부분.
「2」어떤 중심 되는 곳에서 가까운 부분.
「3」그릇 따위의 아가리의 주변.
「4」‘주변’의 뜻을 나타내는 말.",일반어,
1등급,가게,0,명사,고유어,,"「1」작은 규모로 물건을 파는 집.
「2」길거리에 임시로 물건을 벌여 놓고 파는 곳.",일반어,
1등급,가격,3,명사,한자어,價格,물건이 지니고 있는 가치를 돈으로 나타낸 것.,일반어,
1등급,가구,4,명사,한자어,家具,집안 살림에 쓰는 기구. 주로 장롱ㆍ책장ㆍ탁자 따위와 같이 비교적 큰 제품을 이른다.,일반어,
1등급,가까워지다,0,동사,고유어,,"[1]어느 한 곳에서 다른 곳까지의 거리가 짧아지다.
[2]어떤 시간이나 날짜 사이의 간격이 짧아지다.
[3]서로의 사이가 점점 다정하고 친하게 되다.
[4]「1」어떤 기준점에 다다른 상태가 되다.
[4]「2」성질이나 특성이 기준이 되는 것과 점점 비슷하게 되다.
[5]소리가 점점 크고 분명하게 느껴지다.",일반어/일반어,
1등급,가까이,0,부사/명사,고유어,,"[Ⅰ]「1」한 지점에서 거리가 조금 떨어져 있는 상태로.
[Ⅰ]「2」일정한 때를 기준으로 그때에 약간 못 미치는 상태로.
[Ⅰ]「3」사람과 사람의 사이가 친밀한 상태로.
[Ⅱ]가까운 곳.",일반어,
1등급,가깝다,0,형용사,고유어,,"[1]어느 한 곳에서 다른 곳까지의 거리가 짧다.
[2]서로의 사이가 다정하고 친하다.
[3]「1」어떤 기준점에 다다른 상태이다.
[3]「2」성질이나 특성이 기준이 되는 것과 비슷하다.
[4]「1」어떤 시간이나 날짜까지의 간격이 짧다.
[4]「2」촌수가 멀지 않다.",일반어,
1등급,가꾸다,0,동사,고유어,,"[1]「1」식물이나 그것을 기르는 장소 따위를 손질하고 보살피다.
[1]「2」몸을 잘 매만지거나 꾸미다.
[1]「3」좋은 상태로 만들려고 보살피고 꾸려 가다.
[2]쓸모없는 땅을 쓸모 있는 땅으로 바꾸다.",일반어,
1등급,가끔,0,부사,고유어,,시간적ㆍ공간적 간격이 얼마쯤씩 있게.,일반어,
1등급,가난,1,명사,고유어,,살림살이가 넉넉하지 못함. 또는 그런 상태.,일반어,
1등급,가난하다,0,형용사,고유어,,살림살이가 넉넉하지 못하여 몸과 마음이 괴로운 상태에 있다.,일반어,
1등급,가늘다,0,형용사,고유어,,"「1」물체의 지름이 보통의 경우에 미치지 못하고 짧다.
「2」소리의 울림이 보통에 미치지 못하고 약하다.
「3」물체의 굵기가 보통에 미치지 못하고 잘다.
「4」빛이나 연기 따위가 희미하고 약하다.
「5」표정이 얼굴에 나타날 듯 말 듯 약하다.
「6」사이가 좁고 촘촘하다.
「7」움직이는 정도가 아주 약하다.",일반어,
1등급,가능,0,명사,한자어,可能,할 수 있거나 될 수 있음.,일반어,
1등급,가능하다,0,형용사,혼종어,可能하다,할 수 있거나 될 수 있다.,일반어,
